Designator,Footprint,Quantity,Value,LCSC Part #
AIN1,132134_AMP,1,AIN1,
"C1, C11, C17, C2, C23, C24, C3, C4, C5, C6, C7, C76, C77, C8, C97, C99",CAPC1608X90N,16,1uF,
C10,CAPC2012X95N,1,10uF,
"C12, C13, C14, C15, C16, C18, C19, C94, C95",CAPC1608X90N,9,0.1uF,
"C20, C98",CAPC1608X90N,2,0.01uF,
"C72, C73, C75, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93",CAPC1608X90N,17,4.7nF,
C9,CAPC3225X280N,1,100uF,
FB1,BEADC1608X95N,1,FCM_1608KF-601T03,
IC1,QFP50P1200X1200X120-64N,1,ADS1299-4PAGR,
"J2, J9",PHOENIX_1725656,2,1725656,
J3,SAMTEC_TSM-110-01-T-DV-P-TR,1,TSM-110-01-T-DV-P-TR,
"J5, JP25",SAMTEC_TSW-103-07-T-D,2,TSW-103-07-T-D,
J6,SAMTEC_SSW-118-21-F-D,1,36PIN_IDC,
"JP1, JP18, JP21, JP22, JP23, JP6, JP60, JP7, JP8",SAMTEC_TSW-103-07-T-S,9,TSW-103-07-T-S,
"JP19, JP5",SAMTEC_TSW-102-07-T-S,2,TSW-102-07-T-S,
OSC1,XTAL_FXO-HC735-8,1,HC735-2.048MHZ,
"R10, R11, R12, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95",RESC1608X60N,19,4.99K,
"R13, R14, R15, R71, R72, R73",RESC1005X40,6,0,
"R23, R24",0603,2,0,
"R25, R3",RESC1607X60N,2,0,
"R6, R67, R7, R75",RESC1607X60N,4,10K,
R8,RESC1608X55N,1,392K,
TP2,KEYSTONE_5001,1,5001,
TP3,KEYSTONE_5000,1,5000,
TPAVDD1,KEYSTONE_5000,1,AVDD,
TPAVSS1,KEYSTONE_5000,1,AVSS,
TPDVDD1,KEYSTONE_5000,1,DVDD,
U10,SOP8P65_300X640X120L60X24N,1,24AA256-I/ST,
U11,SOIC127P599X175-8N,1,OPA376AID,
U4,SOIC127P599X175-8N,1,OPA376,
