Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2",SW_TS04-66-43-BK-260-SMT,2,TS02-66-60-BK-160-LCR-D,
"C19, C27",CAPC1608X90,2,1uF,
"C20, C26, C28, C29, C30, C31, C32, C33, C34, C41, C49, C50, C51, C53, C57, C58, C61",CAPC1608X90,17,100nF,
C40,CAPC1608X90,1,[N/A],
C42,CAPMP3216X166,1,4.7uF,
"C52, C54",CAPC1608X90,2,4.7uF_X54_0603,
"C56, C59",CAPMP3216X166,2,1uF,
C60,CAPC1608X90,1,1uF_X5R_0603,
"CN11, CN12",PinSocket_2x36_P2.54mm_Vertical,2,Conn_02x36_Odd_Even,
CN14,MOLEX_47589-1001,1,USB_B_Micro,
CN5,PinSocket_2x05_P2.54mm_Vertical,1,Conn_ARM_JTAG_SWD_10,
D2,DIOM4336X265N,1,SMLVT3V3,
D6,DIODE_ESDALC6V1-1U2,1,ESDALC6V1-1U2,
J1,PHOENIX_1725656,1,Screw_Terminal_01x02,
L3,FB0603,1,BEAD,
"LD1, LD6, LD8",LED-0603,3,Green,
LD2,LED-0603,1,Blue,
"LD3, LD7",LED-0603,2,Red,
"R28, R29",RESC1607X60N,2,1K,
R30,R0603,1,680,
R31,RESC1608X60N,1,510,
R36,RESC1608X60N,1,200K,
"R37, R38, R52, R54",RESC1607X60N,4,10K,
"R41, R43",RESC1607X60N,2,330,
R42,RESC1607X60N,1,220K,
R44,RESC1607X60N,1,100,
R45,RC0603N_YAG,1,620,
R48,RESC1607X60N,1,22K,
"R49, R51",RESC1608X55,2,47K,
"SB124, SB132, SB135, SB142, SB143, SB172, SB197",RESC1607X60N,7,Closed,
T2,SOT-23,1,9013,
U11,LQFP144-20x20mm_STM,1,STM32L496ZGTx,
U12,SOT95P280X145-5N,1,STMPS2151STR,
U13,SOT95P280X145-6N,1,USBLC6-2SC6,
U6,SON95P300X300X100-7N,1,LD39050PU33R,
U8,SOT23-5_STM,1,TSV631AILT,
U9,SOT65P210X110-5N,1,ESDALC6V1W5,
